M1,M2,M3,Datetime
675,655,675,44
675,651,675,44
678,655,678,44
678,654,678,44
678,654,677,44
676,652,675,45
675,651,676,45
679,653,677,45
678,653,677,45
678,652,674,45
677,653,677,45
677,653,677,45
678,655,677,45
677,653,676,45
678,654,678,45
677,654,678,45
675,652,675,45
675,652,677,45
679,653,677,45
675,651,675,45
674,652,675,45
675,651,675,45
677,654,678,45
676,652,676,45
677,652,677,45
680,656,679,46
675,651,677,46
675,651,676,46
680,655,679,46
675,651,675,46
676,653,678,46
675,652,675,46
676,653,675,46
680,656,680,46
683,655,679,46
676,652,675,46
677,653,677,46
675,652,675,46
677,653,679,46
675,651,675,46
679,655,680,46
677,653,677,46
678,654,678,46
675,651,675,46
676,652,676,46
676,651,675,47
677,653,677,47
677,652,675,47
676,652,675,47
678,654,675,47
677,653,677,47
675,651,675,47
680,657,680,47
675,652,675,47
678,654,680,47
677,653,676,47
675,651,675,47
676,652,676,47
680,656,680,47
675,653,678,47
678,653,677,47
678,654,678,47
677,652,676,47
675,651,675,47
677,654,677,47
682,653,680,48
675,651,674,48
677,653,677,48
675,651,675,48
680,656,680,48
676,652,675,48
675,651,675,48
675,651,675,48
680,656,679,48
675,652,675,48
675,651,675,48
676,652,675,48
675,651,675,48
675,652,675,48
678,654,678,48
675,652,676,48
675,652,675,48
676,651,675,48
677,652,677,48
680,655,679,48
677,653,678,49
677,654,678,49
677,653,676,49
678,653,678,49
679,654,679,49
678,655,679,49
681,656,680,49
678,654,679,49
678,652,676,49
680,655,679,49
680,655,679,49
678,653,679,49
678,654,679,49
678,655,679,49
678,653,679,49
682,656,682,49
676,652,677,49
677,651,676,49
679,654,678,49
678,652,677,49
677,652,677,50
677,653,677,50
677,653,676,50
677,653,678,50
677,651,676,50
677,652,677,50
677,652,677,50
680,655,681,50
679,654,680,50
680,654,679,50
678,654,678,50
679,653,679,50
678,654,679,50
677,652,678,50
677,652,676,50
677,652,678,50
679,654,679,50
677,652,678,50
678,653,678,50
677,652,678,50
677,652,678,51
679,654,678,51
678,655,679,51
678,653,678,51
677,654,677,51
677,653,678,51
679,655,680,51
677,653,677,51
678,654,678,51
677,652,677,51
677,651,677,51
676,650,676,51
680,653,679,51
677,651,677,51
678,652,678,51
677,651,677,51
677,651,677,51
679,652,679,51
677,652,678,51
677,650,678,51
678,652,678,52
679,652,679,52
678,653,679,52
676,651,676,52
677,651,677,52
678,651,677,52
676,651,679,52
676,650,676,52
678,652,677,52
680,654,679,52
679,654,679,52
678,651,678,52
678,651,677,52
679,654,680,52
681,655,681,52
678,651,678,52
679,653,678,52
680,653,680,52
677,650,677,52
680,654,680,52
676,652,677,53
677,651,677,53
677,651,679,53
679,652,678,53
681,655,680,53
678,651,677,53
678,652,678,53
679,653,679,53
678,652,678,53
677,650,676,53
678,653,679,53
677,651,678,53
676,651,676,53
679,653,679,53
677,653,678,53
678,652,678,53
678,652,677,53
677,651,678,53
677,650,677,53
677,651,677,53
677,651,677,54
677,651,679,54
678,650,676,54
680,653,680,54
677,651,676,54
678,652,679,54
677,651,678,54
678,651,677,54
679,652,678,54
679,652,679,54
679,652,679,54
676,651,678,54
677,651,677,54
679,653,680,54
678,651,677,54
677,650,677,54
678,651,677,54
679,653,680,54
678,651,677,54
679,652,678,54
677,652,677,55
678,654,679,55
677,651,676,55
676,649,676,55
678,653,677,55
678,651,678,55
676,650,677,55
678,651,677,55
677,650,678,55
677,650,678,55
678,650,677,55
679,651,677,55
678,651,679,55
680,654,679,55
681,654,679,55
677,651,679,55
678,652,678,55
679,651,678,55
676,650,678,55
676,649,675,55
676,650,677,56
679,653,680,56
676,649,676,56
678,653,679,56
677,652,678,56
677,651,677,56
679,652,679,56
676,650,676,56
678,651,678,56
678,650,677,56
676,649,676,56
677,651,677,56
681,654,680,56
676,649,677,56
677,650,676,56
679,651,678,56
677,650,677,56
677,650,677,56
678,653,679,56
678,652,679,56
679,651,679,57
678,650,677,57
677,651,678,57
677,650,677,57
682,655,681,57
679,653,679,57
677,650,677,57
677,650,676,57
678,650,677,57
677,651,678,57
676,649,676,57
676,650,677,57
679,654,681,57
678,651,678,57
677,649,677,57
677,651,678,57
678,651,678,57
678,650,677,57
679,652,679,57
678,651,678,57
677,650,677,58
676,650,676,58
676,651,677,58
677,650,678,58
681,654,680,58
678,651,680,58
677,651,676,58
677,651,679,58
678,651,679,58
679,653,678,58
676,649,676,58
679,651,679,58
677,652,680,58
679,649,676,58
677,650,678,58
677,650,677,58
681,651,677,58
677,650,677,58
679,652,679,58
679,652,680,58
681,654,680,59
677,651,679,59
679,652,678,59
680,653,680,59
679,653,679,59
680,653,679,59
679,652,679,59
677,650,677,59
678,650,679,59
676,650,676,59
677,651,678,59
676,649,676,59
679,653,680,59
678,652,678,59
676,651,677,59
678,650,677,59
681,655,681,59
680,652,679,59
676,650,678,59
676,649,675,59
675,649,675,0
675,649,675,0
676,649,675,0
675,648,674,0
680,653,679,0
677,651,677,0
676,649,678,0
676,649,674,0
677,650,677,0
675,648,675,0
678,650,679,0
675,649,676,0
677,649,676,0
675,649,676,0
680,652,680,0
675,648,674,0
676,649,676,0
677,650,677,0
676,650,675,0
675,652,679,0
678,650,675,1
678,650,674,1
678,651,678,1
677,650,677,1
675,650,679,1
677,650,677,1
678,650,679,1
675,648,675,1
679,651,676,1
678,652,678,1
679,653,679,1
676,648,674,1
676,649,675,1
675,648,677,1
678,651,678,1
675,647,675,1
675,648,675,1
675,648,676,1
675,648,675,1
678,650,677,1
677,650,676,2
675,648,675,2
675,648,675,2
675,648,675,2
677,650,676,2
675,649,677,2
678,652,677,2
676,649,674,2
675,649,675,2
675,648,675,2
676,649,676,2
679,653,680,2
678,650,677,2
676,649,675,2
675,649,676,2
677,651,677,2
675,648,675,2
678,653,678,2
677,652,676,2
675,648,676,2
675,648,675,3
675,649,678,3
675,650,679,3
675,649,678,3
675,648,675,3
675,649,676,3
680,654,680,3
677,651,677,3
675,649,674,3
675,648,675,3
677,650,675,3
680,653,680,3
676,651,679,3
676,648,676,3
677,649,676,3
675,647,675,3
677,650,678,3
675,648,675,3
678,651,677,3
675,648,675,3
675,648,676,4
675,648,675,4
676,648,675,4
677,650,677,4
676,649,678,4
675,648,675,4
676,648,675,4
676,649,675,4
675,647,677,4
677,651,677,4
676,648,676,4
676,648,677,4
677,650,678,4
674,648,674,4
675,649,675,4
675,648,675,4
675,648,674,4
675,648,675,4
676,651,679,4
676,650,676,4
675,648,674,5
675,648,675,5
674,649,675,5
676,650,677,5
